3 Physical Weak Targets with 150 Speed (1.33 attacks per turn)
Team,DPAV,%DIFF
Tingyun/Yunli/Robin/Huohuo,10005.876,115.07%
Topaz/Yunli/Robin/Huohuo,9784.568,112.52%
Sword March/Yunli/Robin/Huohuo,9664.325,111.14%
Sparkle/Yunli/Robin/Huohuo,9214.274,105.96%
Pela/Yunli/Tingyun/Huohuo,8695.654,100.00%
Sparkle/Yunli/Tingyun/Huohuo,8561.709,98.46%



2 Physical Weak Targets with 150 Speed (1.33 attacks per turn)
Team,DPAV,%DIFF
Topaz/Yunli/Robin/Huohuo,7236.340,118.84%
Tingyun/Yunli/Robin/Huohuo,6989.356,114.78%
Sword March/Yunli/Robin/Huohuo,6712.634,110.24%
Sparkle/Yunli/Robin/Huohuo,6179.546,101.48%
Sparkle/Yunli/Tingyun/Huohuo,6105.113,100.26%
Pela/Yunli/Tingyun/Huohuo,6089.236,100.00%



1 Physical Weak Target with 150 Speed (2 attacks per turn)
Team,DPAV,%DIFF
Topaz/Yunli/Robin/Huohuo,5628.928,151.22%
Sword March/Yunli/Robin/Huohuo,4692.847,126.08%
Tingyun/Yunli/Robin/Huohuo,3868.477,103.93%
Sparkle/Yunli/Robin/Huohuo,3745.041,100.61%
Pela/Yunli/Tingyun/Huohuo,3722.235,100.00%
Sparkle/Yunli/Tingyun/Huohuo,3447.237,92.61%




